#Data tag : v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/ub) | recorded(/ub) |
+-------------+-------------------+------+------+----------------+---------------+
| 194270:2632 | 05/16/12 16:57:57 | 13   | 13   | 1451083.482    | 1428558.087   |
| 194303:2634 | 05/16/12 23:18:49 | 47   | 47   | 5513744.543    | 5287759.591   |
| 194304:2634 | 05/16/12 23:40:48 | 46   | 46   | 5158899.942    | 5015012.992   |
| 194305:2634 | 05/17/12 00:05:25 | 84   | 84   | 8765630.149    | 8578434.050   |
| 194314:2635 | 05/17/12 02:50:05 | 249  | 249  | 28971459.829   | 28366144.339  |
| 194315:2635 | 05/17/12 04:35:43 | 467  | 467  | 42915532.417   | 42377652.206  |
| 194317:2635 | 05/17/12 07:49:32 | 20   | 20   | 1542827.184    | 1465933.771   |
| 194424:2644 | 05/18/12 09:57:28 | 638  | 638  | 68525720.696   | 67278501.400  |
| 194428:2644 | 05/18/12 14:20:51 | 563  | 563  | 43467835.889   | 43034014.024  |
| 194429:2644 | 05/18/12 18:03:28 | 952  | 952  | 53522746.977   | 53134539.839  |
| 194439:2645 | 05/19/12 06:24:56 | 61   | 61   | 8262318.718    | 7906712.818   |
| 194455:2646 | 05/19/12 09:16:39 | 222  | 222  | 27940233.032   | 27264855.032  |
| 194464:2646 | 05/19/12 11:01:46 | 208  | 208  | 22461960.392   | 22062544.979  |
| 194479:2646 | 05/19/12 12:28:43 | 290  | 290  | 24913766.297   | 24653378.936  |
| 194480:2646 | 05/19/12 16:13:22 | 1402 | 1402 | 82729062.040   | 82124339.464  |
| 194533:2648 | 05/20/12 14:17:30 | 803  | 803  | 75905299.957   | 74955152.631  |
| 194619:2649 | 05/21/12 09:51:23 | 81   | 81   | 10282195.003   | 9941163.520   |
| 194631:2649 | 05/21/12 10:47:32 | 222  | 222  | 24914757.045   | 24079684.862  |
| 194643:2649 | 05/21/12 12:17:52 | 287  | 287  | 27919510.478   | 27444462.291  |
| 194644:2649 | 05/21/12 14:15:38 | 421  | 421  | 33995240.905   | 33703811.111  |
| 194691:2651 | 05/22/12 04:51:14 | 221  | 221  | 26543357.179   | 25711076.428  |
| 194699:2651 | 05/22/12 08:08:20 | 69   | 69   | 6465210.618    | 6396765.886   |
| 194702:2651 | 05/22/12 09:54:16 | 191  | 191  | 15852273.185   | 15688150.481  |
| 194704:2651 | 05/22/12 11:14:23 | 592  | 592  | 41537045.183   | 41160841.334  |
| 194711:2651 | 05/22/12 15:21:37 | 614  | 614  | 34249050.245   | 33957095.355  |
| 194712:2651 | 05/22/12 19:26:58 | 759  | 759  | 34353647.520   | 34124401.039  |
| 194735:2653 | 05/23/12 04:56:28 | 89   | 89   | 10898826.539   | 10580165.184  |
| 194778:2657 | 05/23/12 14:43:41 | 157  | 157  | 19224074.514   | 18727498.140  |
| 194789:2657 | 05/23/12 16:23:23 | 528  | 528  | 50413311.482   | 49778853.748  |
| 194790:2657 | 05/23/12 20:17:12 | 45   | 45   | 3623764.171    | 3538704.760   |
| 194825:2658 | 05/23/12 23:54:34 | 148  | 148  | 19399122.667   | 18847864.879  |
| 194896:2660 | 05/24/12 13:36:06 | 69   | 69   | 9417515.163    | 8941914.193   |
| 194897:2660 | 05/24/12 14:07:29 | 101  | 101  | 12886985.805   | 12553323.092  |
| 194912:2663 | 05/24/12 23:45:18 | 1609 | 1609 | 157918386.471  | 154625144.647 |
| 194914:2663 | 05/25/12 10:14:34 | 33   | 33   | 2148609.715    | 2114034.252   |
| 194915:2663 | 05/25/12 10:33:19 | 74   | 74   | 4665373.365    | 4623968.106   |
| 195013:2669 | 05/26/12 02:27:09 | 288  | 288  | 37627748.173   | 36329504.993  |
| 195014:2669 | 05/26/12 05:38:07 | 160  | 160  | 17112239.892   | 16883664.813  |
| 195015:2669 | 05/26/12 06:44:08 | 13   | 13   | 1321163.854    | 1199919.229   |
| 195016:2669 | 05/26/12 06:56:15 | 559  | 559  | 49369282.071   | 48852212.130  |
| 195099:2670 | 05/27/12 21:14:32 | 182  | 182  | 26143498.337   | 25232215.783  |
| 195109:2671 | 05/28/12 01:35:59 | 243  | 243  | 33057370.928   | 31983837.939  |
| 195110:2671 | 05/28/12 03:22:27 | 6    | 6    | 752589.492     | 76157.336     |
| 195111:2671 | 05/28/12 03:28:07 | 44   | 44   | 5417098.645    | 5318890.060   |
| 195112:2671 | 05/28/12 03:51:01 | 26   | 26   | 3090604.164    | 2676386.064   |
| 195113:2671 | 05/28/12 04:04:17 | 579  | 579  | 59071493.247   | 58131934.783  |
| 195114:2671 | 05/28/12 07:53:29 | 103  | 103  | 8882913.951    | 8721451.810   |
| 195115:2671 | 05/28/12 08:37:22 | 22   | 22   | 1790103.569    | 1770908.210   |
| 195147:2673 | 05/28/12 18:00:08 | 375  | 375  | 48190040.643   | 47083718.128  |
| 195163:2675 | 05/29/12 02:27:30 | 273  | 273  | 37541268.188   | 36281682.196  |
| 195164:2675 | 05/29/12 04:17:00 | 60   | 60   | 7457081.695    | 7289625.885   |
| 195165:2675 | 05/29/12 04:44:03 | 146  | 146  | 16477582.682   | 16279987.543  |
